C|135100|35|K|Therez Olsson|35 år, Kommunalråd, Vänge
C|133581|29|K|Alexandra Steinholtz|29 år, Jurist, Uppsala
C|132922|42|M|Christopher Lagerqvist|42 år, Forskare, Uppsala
C|132910|39|K|Marta Obminska|riksdagsledamot, Uppsala län
C|132921|61|M|Magnus Åkerman|61 år, Civilekonom, Uppsala
C|132915|70|K|Cecilia Forss|70 år, Pensionär, Uppsala
C|132913|49|M|Markus Lagerquist|49 år, Politiskt sakkunnig, Uppsala
C|132932|59|M|Mats Gyllander|59 år, Officer, Uppsala
C|132920|47|K|Madeleine Andersson|47 år, Idrottsutvecklare, Uppsala
C|132929|43|K|Carolina Bringborn|43 år, Administrativ chef, Uppsala
C|135110|69|K|Anna-Karin Westerlund|69 år, 1:e arkivarie, Uppsala
C|135111|40|M|Robin Kronvall|40 år, Ekonomiansvarig, Uppsala
C|135112|31|K|Carolina Zandén|31 år, Borgarrådssekreterare, Uppsala
C|132916|25|M|Fredrik Hultman|25 år, Student, Uppsala
C|135114|70|M|Gunnar Hedberg|70 år, F.d. kommunalråd, Uppsala
C|135115|57|M|Roine Thunberg|57 år, Reservdelsman, Alunda
C|135116|74|K|Inger Söderberg|74 år, Pensionerad rektor, Uppsala
C|135117|60|M|Arne Sandemo|60 år, Kommunikationskonsult, Uppsala
C|132926|49|M|Bekir Jusufbasic|49 år, Egen Företagare, Uppsala
C|135119|59|M|Lars Harlin|59 år, VD/ekonom, Storvreta
C|133575|76|K|Vivianne Eriksson|76 år, Egen företagare, Uppsala
C|135121|72|M|Stig Rådahl|72 år, F.d. bitr. rektor, Uppsala
C|135122|51|M|Mats Hansén|51 år, Rektor, Uppsala
C|135123|54|K|Maria Jansson|54 år, Kyrkvaktmästare, Knutby
C|135124|46|M|Mathias Kullberg|46 år, Civilingenjör, Uppsala
C|135125|68|K|Maria Petersson|68 år, Pensionär, Uppsala
C|135126|34|M|Hannes Beckman|34 år, Jurist, Storvreta
C|135127|36|M|Johan Ridenfeldt|36 år, Banktjänsteman, Uppsala
C|135128|44|K|Malin Ahlström|44 år, Bygglovsadministratör, Uppsala
C|135129|69|M|Thomas Tjäder|69 år, F.r. säk.politisk rådgivare, Uppsala
C|135130|21|M|John Manders|21 år, Studerande, Storvreta
C|135131|23|M|Sten Storgärds|23 år, Jur stud, Uppsala
C|135132|68|M|Per Davidsson|68 år, Pensionär, Uppsala
C|135133|59|K|Inger Liljeberg Kjelsson|59 år, Köksbiträde, Almunge
C|133571|29|K|Gazang Bradosti|29 år, Jurist , Uppsala
C|135135|52|M|Mårten Blix|52 år, Jur. kand., Uppsala
C|135136|53|K|Lise-Lotte Argulander|53 år, Jur. kand. , Uppsala
C|135137|63|M|Lars Tufvesson|63 år, Civilekonom, Uppsala
C|135138|40|M|Håkan Tribell|40 år, Talskrivare, Uppsala
C|135139|30|K|Josefine Andersson|30 år, Forskare, Storvreta
