T|Göteborg
A|2|201221|201222|201223|200507|201225|201226|201227|201228|200506|201230|201231|200521|201233|201234|201235|201236|200512|201238|200520|201240|201241|201242|200514|201244|201245|201246|201247|201248|201249|201250|200518|201252|201253|201254|200508|200513|201257|201258|201259|201260|201261|201262|201263|200519|201265|200515|201267|201268|201269|201270|201271|201272|201273|201274|201275|201276|201277|201278|201279|201280|201281|201282|201283|201284|201285|201286|201287|201288|201289|201290|201291|202666
A|4|1888|36656|36657|1882|36659|36660|36661|36662|36663|36664|36666|36667|36668|36669|36670|36671|36672|6159|36674|36675|36676|36677|36678|36679|36680|36681|36682|36683|36684|36685|36686|36687|36688|36689
A|1297|281046|281047|281048|281049|281050|281051|281052|281053|281054|281055|281056|281057|281058|281059|281060|281061|281062|281063|281064|281065|281066|281067|281068|281069|281070|281071|281072|281073|281074
A|1150|365282|514817
A|1136|469730|469731|469732|469733
A|532|188461|219308|185389|188425|276374|276375|219336|219296|276415|276488|276489|276490|276491|219337|276555|276556|276557|276558|276559|276560|276561
A|638|515695
C|304591|51|M|Bosse Parbring|51 år, Majorna, kommunikatör
C|304594|45|K|Åse-lill Törnqvist|45 år, Örgryte-Härlanda, kanslichef
C|304615|51|M|Martin Nilsson|51 år, Lundby, systemförvaltare
C|304602|32|K|Derya Gözde-Tumayer|32 år, Lundby, entreprenadingenjör
C|304601|62|M|Ulf Carlsson|62 år, Örgryte-Härlanda, politisk sekreterare
C|304592|26|K|Klara Holmin|26 år, Kålltorp, förvaltningsstudent
C|306681|60|M|Lars-Olof Karlsson|60 år, Kungsladugård, kommunikatör
C|304612|41|K|Elisabeth Undén|41 år, Högsbohöjd, miljövetare
C|306683|23|M|Abdullahi Mohamed|22 år, Hisingen, student
C|74064|24|K|Hanna Bernholdsson|24 år, Kommunikatör, Göteborg
C|304600|53|K|Helena Norin|53 år, Masthugget, civilingenjör
C|304603|62|M|Dalibor Eminefendic|62 år, Askim-Frölunda-Högsbo, integrationssamordnare/journalist
C|82462|28|K|AnnaSofia Alexandersson|28 år, Örgryte-Härlanda, genusvetare
C|306689|32|M|Daniel Edvinsson|32 år, Centrum, jurist
C|304596|19|K|Rebecka Forsberg|19 år, Västra Frölunda, student
C|304605|42|M|Jesper Jonsteg|42 år, Linné, VD
C|306692|36|K|Sara-Linnea Östervall|36 år, Björkekärr, civilingenjör
C|306693|65|M|Stig Andersson|65 år, Hammarkullen, familjebehandlare
C|306694|54|K|Annika Johansson|53 år, civilekonom
C|306695|58|M|Ali Yaghoubvand|58 år, Lundby, civilingenjör
C|306696|64|K|Anna Ericson|63 år, Billdal, Pensionär/fd skolledare
C|306697|32|M|David Hammarsten|32 år, Majorna, arkitekt
C|306698|21|K|Amanda Wykman|21 år, Kviberg, student
C|152587|19|M|Lucas Henriksson|19 år, Lundby, student
C|306700|72|K|Soili Brunberg|72 år
C|306701|57|M|Ronnie Ljungh|56 år, Västra Göteborg, lärare
C|306702|20|K|Tuba Zengin|20 år, Västra Frölunda, statsvetarstudent
C|304599|29|M|Elias Ytterbrink|29 år, Biskopsgården, föreningskonsulent
C|306704|35|K|Kristina Belfrage|35 år, affärsutvecklare, Örgryte-Härlanda
C|82469|55|K|Anna Sibinska|55, egenföretagare, Göteborg
C|74084|32|K|Madeleine Jonsson|32 år, Centrum, ekonomichef
C|864|46|M|Jonas Ransgård|46, Civilekonom
C|865|34|M|Hampus Magnusson|34, Civilekonom
C|866|53|K|Anneli Rhedin|53, Statsvetare
C|867|47|M|Axel Josefson|47, Projektledare
C|868|23|K|Hanna Friberg|23, Juriststudent
C|869|44|M|Toni Orsulic|44, Målare
C|870|57|K|Kristina Tharing|57, Evenemangsledare/DIHM
C|871|27|M|Mattias Tykesson|27, Väktare
C|872|49|K|Marie-Louise Hänel Sandström|49, Specialistläkare
C|873|57|M|Anders Sundberg|57, Managementkonsult
C|874|33|K|Sofie Gyllenwaldt|33, Finansanalytiker
C|875|40|M|Anders Svensson|40, Rektor
C|876|45|K|Nina Miskovsky|45, Fitnessinstruktör
C|877|73|M|Christer Holmgren|73, Pensionär
C|878|55|K|Åsa Hartzell|55, Företagare
C|879|45|M|Hakan Önal|45, Ingenjör
C|880|27|M|Ahmed Salih|27, Fritidsledare
C|881|34|M|Joel Wickman|34, Jurist
C|882|61|M|Åke Björk|61, Banktjänsteman
C|883|45|M|Bruno Tiozzo|45, Biträdande Jurist
C|884|32|K|Emma Karlsson|32, socionom
C|885|56|K|Cecilia Magnusson|56, Riksdagsledamot
C|886|53|M|Claes Johansson|53, Civ ing Civ Ek
C|887|39|M|Tomas Nilsson|39, Civilekonom och systemvetare
