DATUM;PASSNR;VVLEG;TAXINR;INKÖRT;KREDITER;UTLÄGG;ATT REDOVISA;EJ LÖNEGRUND EX MOMS;BUD;PERSONTRSP;UTRIKES;STARTTID;SLUTTID;INLOGGAD TID;RASTTID;TOTAL KM;BETALDA KM;OBETALDA KM;KM MELLAN PASS;ANTAL PÅSLAG;ANTAL BOM;ANTAL AVBEST
14-09-09;      1586;     929069;       1544;      816,00;      826,00;        0,00;      -10,00;        0,00;        0,00;      816,00;        0,00;1601;2202;0601;0059; 159,6;  47,9; 111,7;  11,0;             4;          0;          0;
14-09-10;      1587;     819815;       1544;     3314,00;     2398,00;        0,00;      916,00;       79,28;        0,00;     3314,00;        0,00;0518;1527;1009;0000; 212,8; 170,8;  42,0;   7,2;            11;          0;          0;
14-09-10;      1588;     929069;       1544;      498,00;      337,00;        0,00;      161,00;       19,82;        0,00;      498,00;        0,00;1549;2319;0730;0000;  81,2;  10,0;  71,2;   6,8;             3;          0;          0;
14-09-11;      1589;     819815;       1544;     4174,00;     4145,00;        0,00;       29,00;       39,64;        0,00;     4174,00;        0,00;0454;1602;1108;0000; 230,6; 190,7;  39,9;   5,7;            13;          0;          0;
14-09-11;      1590;     929069;       1544;     3968,00;     4069,00;        0,00;     -101,00;       25,48;        0,00;     3968,00;        0,00;1637;0144;0907;0000; 403,7; 230,9; 172,8;  15,2;             9;          0;          0;
14-09-12;      1591;     819815;       1544;     3232,00;     3257,00;        0,00;      -25,00;       19,82;        0,00;     3232,00;        0,00;0535;1545;1010;0000; 221,8; 133,3;  88,5;   1,8;            14;          0;          0;
14-09-12;      1592;     929069;       1544;     4472,00;     3436,00;        0,00;     1036,00;        0,00;        0,00;     4472,00;        0,00;1558;0336;1138;0113; 313,1; 163,3; 149,8;   2,4;            18;          0;          0;
14-09-13;      1593;     819815;       1544;     3135,00;     2107,00;        0,00;     1028,00;        0,00;        0,00;     3135,00;        0,00;0400;1532;1132;0000; 285,8; 221,5;  64,3;   2,0;             8;          0;          0;
14-09-13;      1594;     929069;       1544;     5090,00;     3923,00;        0,00;     1167,00;        0,00;        0,00;     5090,00;        0,00;1923;0450;0927;0000; 283,7; 167,0; 116,7;   5,7;            22;          1;          0;
14-09-14;      1595;     929069;       1544;     1459,00;     1465,00;        0,00;       -6,00;       79,28;        0,00;     1459,00;        0,00;1352;1934;0542;0000;  90,0;  49,6;  40,4;  16,7;             7;          1;          0;
14-09-15;      1596;     819815;       1544;     3082,00;     2549,00;        0,00;      533,00;       59,46;        0,00;     3082,00;        0,00;0714;1646;0932;0000; 121,9;  90,6;  31,3;  27,3;            14;          0;          1;
14-09-01;      2396;     935316;       1587;     4330,00;     4391,00;        0,00;      -61,00;        0,00;        0,00;     4330,00;        0,00;0428;1610;1142;0000; 320,0; 198,7; 121,3;   6,2;            15;          0;          1;
14-09-02;      2397;     935316;       1587;     3762,00;     3815,00;        0,00;      -53,00;       59,46;        0,00;     3762,00;        0,00;0448;1521;1033;0000; 268,8; 187,3;  81,5;   9,1;            14;          0;          0;
14-09-02;      2398;     288340;       1587;     2214,00;     1631,00;        0,00;      583,00;        0,00;        0,00;     2214,00;        0,00;1608;0033;0825;0000; 154,9;  85,5;  69,4;  26,0;            13;          1;          0;
14-09-03;      2399;     935316;       1587;     3683,00;     3538,00;        0,00;      145,00;        0,00;        0,00;     3683,00;        0,00;0439;1518;1039;0000; 326,5; 247,2;  79,3;   7,9;            12;          0;          0;
14-09-03;      2400;     288340;       1587;     3647,00;     3147,00;        0,00;      500,00;        0,00;        0,00;     3647,00;        0,00;1543;0215;1032;0000; 271,2; 190,6;  80,6;  14,2;            14;          0;          0;
14-09-04;      2401;     935316;       1587;     3804,00;     3900,00;        0,00;      -96,00;       19,82;        0,00;     3804,00;        0,00;0509;1527;1018;0000; 304,8; 183,1; 121,7;  11,9;            11;          0;          0;
14-09-04;      2402;     288340;       1587;     2510,00;     2630,00;        0,00;     -120,00;        0,00;        0,00;     2510,00;        0,00;1708;0159;0851;0000; 152,1;  95,1;  57,0;   9,3;            11;          0;          0;
14-09-05;      2403;     288340;       1587;     3976,00;     2789,00;        0,00;     1187,00;        0,00;        0,00;     3976,00;        0,00;1250;0324;1434;0109; 265,3; 178,7;  86,6;  10,8;            17;          0;          1;
14-09-06;      2404;     502769;       1587;     4994,00;     4724,00;        0,00;      270,00;       19,82;        0,00;     4994,00;        0,00;1740;0445;1105;0000; 319,5; 188,4; 131,1;  18,3;            20;          0;          0;
14-09-07;      2405;     935316;       1587;     2628,00;     2528,00;        0,00;      100,00;        0,00;        0,00;     2628,00;        0,00;0518;1318;0800;0000; 206,2; 174,1;  32,1;  23,1;             5;          0;          0;
14-09-08;      2406;     935316;       1587;     4468,00;     4509,00;        0,00;      -41,00;       39,64;        0,00;     4468,00;        0,00;0449;1728;1239;0000; 350,1; 276,0;  74,1; 106,2;            13;          0;          0;
14-09-09;      2407;     935316;       1587;     3962,00;     3030,00;        0,00;      932,00;       39,64;        0,00;     3962,00;        0,00;0434;1700;1226;0000; 333,1; 218,7; 114,4;  14,2;            13;          0;          0;
14-09-10;      2408;     935316;       1587;     5114,00;     4430,00;        0,00;      684,00;       59,46;        0,00;     5114,00;        0,00;0436;1649;1213;0000; 317,0; 246,8;  70,2;  15,4;            17;          0;          0;
14-09-11;      2409;     935316;       1587;      495,00;      495,00;        0,00;        0,00;        0,00;        0,00;      495,00;        0,00;0449;0539;0050;0000;  44,0;  38,7;   5,3;  27,6;             1;          0;          0;
14-09-11;      2410;     935316;       1587;        0,00;        0,00;        0,00;        0,00;        0,00;        0,00;        0,00;        0,00;0543;0555;0012;0000;   0,3;   0,0;   0,3;   1,1;             1;          0;          0;
14-09-11;      2411;     935316;       1587;     2812,00;     2844,00;        0,00;      -32,00;       19,82;        0,00;     2812,00;        0,00;0559;1512;0913;0000; 166,3; 141,3;  25,0;   0,6;             9;          0;          0;
14-09-11;      2412;     502769;       1587;     3752,00;     3870,00;        0,00;     -118,00;        0,00;        0,00;     3752,00;        0,00;1614;0257;1043;0000; 421,0; 269,1; 151,9;  43,2;             8;          0;          0;
14-09-12;      2413;     935316;       1587;     3484,00;     3226,00;        0,00;      258,00;        0,00;        0,00;     3484,00;        0,00;0445;1515;1030;0000; 306,9; 241,2;  65,7;  40,7;            11;          1;          0;
14-09-12;      2414;     502769;       1587;     4939,00;     3895,00;        0,00;     1044,00;       94,37;        0,00;     4939,00;        0,00;1607;0409;1202;0000; 452,3; 240,7; 211,6;  11,7;            14;          0;          1;
14-09-13;      2415;     935316;       1587;     2479,00;     2361,00;        0,00;      118,00;        0,00;        0,00;     2479,00;        0,00;0443;1527;1044;0000; 187,0; 132,7;  54,3;  19,5;            13;          0;          0;
14-09-13;      2416;     502769;       1587;     4709,00;     3844,00;        0,00;      865,00;        0,00;        0,00;     4709,00;        0,00;1759;0449;1050;0000; 391,0; 243,6; 147,4;   7,4;            16;          0;          0;
14-09-14;      2417;     502769;       1587;     2895,00;     2701,00;        0,00;      194,00;        0,00;        0,00;     2895,00;        0,00;1705;0027;0722;0000; 414,9; 221,6; 193,3;  36,5;             7;          1;          0;
14-09-15;      2418;     935316;       1587;     3420,00;     3433,00;        0,00;      -13,00;       59,46;        0,00;     3420,00;        0,00;0449;1657;1208;0000; 261,0; 139,1; 121,9;  22,5;            13;          0;          0;
14-09-15;      2419;     502769;       1587;     3000,00;     3068,00;        0,00;      -68,00;       19,82;        0,00;     3000,00;        0,00;1733;0104;0731;0000; 417,8; 196,2; 221,6;  11,5;             7;          0;          0;
14-09-01;      1244;     820200;       2844;     2786,00;     2597,00;        0,00;      189,00;       23,59;        0,00;     2786,00;        0,00;1429;0000;0931;0000; 286,5; 160,8; 125,7;   3,7;            11;          1;          0;
14-09-02;      1245;     820200;       2844;     1645,00;     1665,00;        0,00;      -20,00;        0,00;        0,00;     1645,00;        0,00;1459;2205;0706;0000; 197,1; 121,4;  75,7;  20,6;             4;          0;          0;
14-09-03;      1246;     820200;       2844;     2367,00;     2367,00;        0,00;        0,00;       25,48;        0,00;     2367,00;        0,00;1501;0004;0903;0057; 329,0; 171,0; 158,0;   2,3;             5;          0;          0;
14-09-04;      1247;     820200;       2844;     1015,00;     1015,00;        0,00;        0,00;        0,00;        0,00;     1015,00;        0,00;1528;1927;0359;0000; 111,9;  83,9;  28,0;   2,1;             2;          0;          0;
14-09-05;      1248;     625792;       2844;     1235,00;     1237,00;        0,00;       -2,00;        0,00;        0,00;     1235,00;        0,00;0803;1352;0549;0000;  79,7;  46,6;  33,1;   9,5;             7;          0;          0;
14-09-05;      1249;     820200;       2844;     5191,00;     5070,00;        0,00;      121,00;       39,64;        0,00;     5191,00;        0,00;1456;0345;1249;0102; 441,0; 216,9; 224,1;  11,1;            13;          1;          0;
14-09-06;      1250;     820200;       2844;     5389,00;     5107,00;        0,00;      282,00;        0,00;        0,00;     5389,00;        0,00;1602;0414;1212;0112; 327,2; 224,0; 103,2;  58,0;            23;          1;          0;
14-09-08;      1251;     803111;       2844;     3211,00;     3271,00;        0,00;      -60,00;        0,00;        0,00;     3211,00;        0,00;1412;2149;0737;0000; 230,8; 197,6;  33,2; 103,8;             6;          0;          0;
14-09-09;      1252;     803111;       2844;     2732,00;     2255,00;        0,00;      477,00;        0,00;        0,00;     2732,00;        0,00;1243;2205;0922;0000; 249,2; 187,6;  61,6;   9,6;            11;          0;          1;
14-09-10;      1253;     496761;       2844;     2498,00;     2097,00;        0,00;      401,00;        0,00;        0,00;     2498,00;        0,00;0538;1606;1028;0000; 209,4; 165,8;  43,6;   0,9;             7;          0;          0;
14-09-11;      1254;     803111;       2844;     4068,00;     4138,00;       89,00;     -159,00;        0,00;        0,00;     4068,00;        0,00;1256;0114;1218;0000; 327,5; 182,2; 145,3;  13,3;            15;          0;          1;
14-09-12;      1255;     803111;       2844;     3790,00;     3843,00;      200,00;     -253,00;        0,00;        0,00;     3790,00;        0,00;1316;0230;1314;0024; 295,8; 191,9; 103,9;   3,8;            14;          1;          0;
14-09-13;      1256;     657052;       2844;     2306,00;     1694,00;        0,00;      612,00;        0,00;        0,00;     2306,00;        0,00;0556;1509;0913;0000; 247,9; 169,3;  78,6;  18,7;             5;          0;          0;
14-09-13;      1257;     803111;       2844;     4494,00;     4020,00;        0,00;      474,00;        0,00;        0,00;     4494,00;        0,00;1621;0415;1154;0000; 285,1; 185,7;  99,4;  45,2;            17;          0;          0;
14-09-14;      1258;     657052;       2844;     3346,00;     2522,00;        0,00;      824,00;       25,48;        0,00;     3346,00;        0,00;0600;1724;1124;0000; 320,5; 221,2;  99,3;  15,1;             8;          0;          0;
14-09-15;      1259;     496761;       2844;     2536,00;     2513,00;        0,00;       23,00;       19,82;        0,00;     2016,00;      520,00;0546;1744;1158;0000; 248,0; 177,5;  70,5;  23,7;             8;          0;          0;
































